TalkEnglish Logo
Toggle English Lesson Menu
TalkEnglish Home Button
Lesson Search

Search
ENGLISH LESSONS
Speaking English Lessons
English Listening Lessons
Extra English Lessons
Full Lesson Index
EXTRAS
English Speaking Articles
Download Offline Version
FB	TW	

Top 2000 Vocabulary Words
The list of words below are the most frequently used 2265 words in Spoken English. The words were selected by analyzing more than 250,000 words from hundreds of conversations. The only words to make it into the list were those that were also found in the BNC top 3,000, The COCA 5,000, and the Longman 3,000.

The frequency number is how often the word appears out of 250,000 words. For example if you divide 250,000 by 9243, then we can see that the word "the" appears once in every 27 words. However, this number should only be used as a general guide. The numbers can change depending on the topic, demographic, and many other variables. Although the number cannot be accurate, it can be used to provide insight into the frequency of words in relation to other words.

The Type column refers to what type of word it is. In many cases, a word can be multiple types. The first one listed is more frequently used than the second. For example, the word "can" is used as an auxiliary verb such as, "I can ride a bike." Also, it is a noun such as can of food. In this particular case, "can" is used commonly in both ways, but it is more frequently used as an auxiliary verb. In some cases, the third or fourth type might not be used regularly.

There can be typos or errors.  If you find anything that is incorrect, please email talkenglish@talkenglish.com.  We will do our best to correct everything.

Word	Frequency	Type
certain	71		(adjective,pronoun)
economy	71		(noun,adjective)
little	71		(adjective,adverb)
theory	71		(noun)
tonight	71		(adverb,noun)
law	70		(noun)
put	70		(verb,noun)
under	70		(preposition,adverb,adjective)
value	70		(noun,verb)
always	69		(adverb)
body	69		(noun,verb)
common	69		(adjective,noun)
market	69		(noun,verb)
set	69		(verb,noun,adjective)
bird	68		(noun)
guide	68		(noun,verb)
provide	68		(verb)
change	67		(verb,noun)
interest	67		(noun,verb)
literature	67		(noun)
sometimes	67		(adverb)
problem	66		(noun)
say	66		(verb,interjection,noun)
next	64		(adjective,adverb,noun)
create	63		(verb)
simple	63		(adjective,noun)
software	63		(noun)
state	63		(noun,verb)
together	63		(adverb)
control	62		(noun)
knowledge	62		(noun)
power	62		(noun)
radio	62		(noun,verb)
ability	61		(noun)
basic	61		(adjective)
course	61		(noun,verb)
economics	61		(noun)
hard	61		(adjective,adverb)
add	60		(verb)
company	60		(noun,verb)
known	60		(adjective)
love	60		(noun)
past	60		(adjective,noun,preposition,adverb)
price	60		(noun,verb)
size	60		(noun,verb,adjective)
away	59		(adverb,adjective)
big	59		(adjective,noun)
internet	59		(noun)
possible	59		(adjective,noun)
television	59		(noun)
three	59		(number)
understand	59		(verb)
various	59		(adjective)
yourself	59		(pronoun)
card	58		(noun,verb)
difficult	58		(adjective)
including	58		(preposition)
list	58		(noun,verb)
mind	58		(noun,verb)
particular	58		(adjective,noun)
real	58		(adjective,adverb,noun)
science	58		(noun)
trade	58		(noun,verb)
consider	57		(verb)
either	57		(conjunction,adjective)
library	57		(noun)
likely	57		(adverb)
nature	57		(noun)
fact	56		(noun)
line	56		(noun,verb)
product	56		(noun)
care	55		(noun,verb)
group	55		(noun,verb)
idea	55		(noun)
risk	55		(noun,verb)
several	55		(adjective)
someone	55		(pronoun)
temperature	55		(noun)
united	55		(adjective)
word	55		(noun,verb,interjection)
fat	54		(noun,adjective,verb)
force	54		(noun,verb)
key	54		(noun,adjective,verb)
light	54		(noun,verb,adjective)
simply	54		(adverb)
today	54		(adverb,noun)
training	54		(noun,adjective)
until	54		(preposition)
major	53		(adjective,noun,verb)
name	53		(noun,verb,adjective)
personal	53		(adjective,noun)
school	53		(noun,verb)
top	53		(noun,adjective,verb)
current	52		(adjective,noun)
generally	52		(adverb)
historical	52		(adjective)
investment	52		(noun)
left	52		(adjective,adverb)
national	52		(adjective,noun)
amount	51		(noun,verb)
level	51		(noun,adjective,verb)
order	51		(noun,verb)
practice	51		(noun,verb)
research	51		(noun,verb)
sense	51		(noun,verb)
service	51		(noun,verb)
area	50		(noun)
cut	50		(verb,noun)
hot	50		(adjective)
instead	50		(adverb)
least	50		(adjective,adverb)
natural	50		(adjective,noun,adverb)
physical	50		(adjective,noun)
piece	50		(noun,verb)
show	50		(verb,noun)
society	50		(noun)
try	50		(verb,noun)
check	49		(verb,noun,interjection)
choose	49		(verb)
develop	49		(verb)
second	49		(number,noun)
useful	49		(adjective)
web	49		(noun,verb)
activity	48		(noun)
boss	48		(noun,verb,adjective)
short	48		(adjective,adverb,noun,verb)
story	48		(noun)
call	47		(verb,noun)
industry	47		(noun)
last	47		(adjective,adverb,noun,verb)
media	47		(noun)
mental	47		(adjective)
move	47		(verb,noun)
pay	47		(verb,noun)
sport	47		(noun,verb)
thing	47		(noun)
actually	46		(adverb)
against	46		(preposition)
far	46		(adverb,adjective)
fun	46		(noun,adjective,verb)
house	46		(noun,adjective,verb)
let	46		(verb,noun)
page	46		(noun,verb)
remember	46		(verb)
term	46		(noun,verb)
test	46		(noun,verb)
within	46		(preposition,adverb)
along	45		(preposition,adverb)
answer	45		(noun,verb)
increase	45		(verb,noun)
oven	45		(noun)
quite	45		(adverb,interjection)
scared	45		(adjective)
single	45		(adjective,noun,verb)
sound	45		(noun,verb,adjective)
again	44		(adverb)
community	44		(noun)
definition	44		(noun)
focus	44		(noun,verb)
individual	44		(adjective,noun)
matter	44		(noun,verb)
safety	44		(noun)
turn	44		(verb,noun)
everything	43		(pronoun)
kind	43		(noun,adjective)
quality	43		(noun)
soil	43		(noun,verb)
ask	42		(verb,noun)
board	42		(noun,verb)
buy	42		(verb,noun)
development	42		(noun)
guard	42		(verb,noun)
hold	42		(verb,noun)
language	42		(noun)
later	42		(adverb,interjection)
main	42		(adjective,noun)
offer	42		(verb,noun)
oil	42		(noun,verb)
picture	42		(noun,verb)
potential	42		(adjective,noun)
professional	42		(adjective,noun)
rather	42		(adverb)
access	41		(noun,verb,adjective)
additional	41		(adjective)
almost	41		(adverb)
especially	41		(adverb)
garden	41		(noun,verb)
international	41		(adjective,noun)
lower	41		(adjective,adverb)
management	41		(noun)
open	41		(adjective,verb,noun)
player	41		(noun)
range	41		(noun,verb)
rate	41		(noun,verb)
reason	41		(noun,verb)
travel	41		(verb,noun)
variety	41		(noun)
video	41		(noun)
week	41		(noun)
above	40		(adverb,preposition,adjective,noun)
according	40		(adjective,verb)
cook	40		(verb,noun)
determine	40		(verb)
future	40		(noun,adjective)
site	40		(noun,verb)
alternative	39		(adjective,noun)
demand	39		(noun,verb)
ever	39		(adverb)
exercise	39		(noun,verb)
following	39		(preposition,noun,adjective)
image	39		(noun,verb)
quickly	39		(adverb)
special	39		(adjective,noun)
working	39		(adjective,noun)
case	38		(noun,verb)
cause	38		(noun,verb)
coast	38		(noun,verb)
probably	38		(adverb)
security	38		(noun)
true	38		(adjective,adverb,verb)
whole	38		(adjective,noun,adverb)
action	37		(noun,adjective)
age	37		(noun,verb)
among	37		(preposition)
bad	37		(noun,adverb,adjective)
boat	37		(noun,verb)
country	37		(noun)
dance	37		(verb,noun)
exam	37		(noun)
excuse	37		(verb,noun)
grow	37		(verb)
movie	37		(noun)
organization	37		(noun)
record	37		(noun,verb)
result	37		(noun,verb)
section	37		(noun,verb)
across	36		(preposition,adverb,adjective)
already	36		(adverb)
below	36		(adverb)
building	36		(noun,verb)
mouse	36		(noun,verb)
allow	35		(verb)
cash	35		(noun,verb)
class	35		(noun,verb,adjective)
clear	35		(adjective,adverb,verb)
dry	35		(adjective,verb,noun)
easy	35		(adjective,adverb,interjection)
emotional	35		(adjective)
equipment	35		(noun)
live	35		(verb,adjective,adverb)
nothing	35		(noun,pronoun,adjective,adverb)
period	35		(noun,adjective)
physics	35		(noun)
plan	35		(noun,verb)
store	35		(noun,verb)
tax	35		(noun,verb)
analysis	34		(noun)
cold	34		(adjective,noun,adverb)
commercial	34		(adjective,noun)
directly	34		(adverb)
full	34		(adjective,adverb,noun,verb)
involved	34		(past,verb)
itself	34		(pronoun)
low	34		(adjective,noun,adverb,verb)
old	34		(adjective)
policy	34		(noun)
political	34		(adjective)
purchase	34		(verb,noun)
series	34		(noun)
side	34		(noun,verb)
subject	34		(noun,adjective,adverb,verb)
supply	34		(verb)
therefore	34		(adverb)
thought	34		(noun)
basis	33		(noun)
boyfriend	33		(noun)
deal	33		(verb,noun)
direction	33		(noun)
mean	33		(verb,adjective,noun)
primary	33		(adjective,noun)
space	33		(noun,verb)
strategy	33		(noun)
technology	33		(noun)
worth	33		(adjective,noun)
army	32		(noun)
camera	32		(noun)
fall	32		(verb,noun)
freedom	32		(noun)
paper	32		(noun)
rule	32		(noun,verb)
similar	32		(adjective)
stock	32		(noun,adjective,verb)
weather	32		(noun,verb)
yet	32		(adverb,conjunction)
bring	31		(verb)
chance	31		(noun,adjective,verb)
environment	31		(noun)
everyone	31		(pronoun)
figure	31		(noun,verb)
improve	31		(verb)
man	31		(noun,verb,interjection)
model	31		(noun,verb)
necessary	31		(adjective,noun)
positive	31		(adjective,noun)
produce	31		(verb,noun)
search	31		(verb,noun)
source	31		(noun,verb)
beginning	30		(noun,adjective,verb)
child	30		(noun)
earth	30		(noun,verb)
else	30		(adverb)
healthy	30		(adjective)
instance	30		(noun)
maintain	30		(verb)
month	30		(noun)
present	30		(adjective,noun,verb)
program	30		(noun,verb)
spend	30		(verb,noun)
talk	30		(verb,noun)
truth	30		(noun)
upset	30		(verb,adjective)
begin	29		(verb)
chicken	29		(noun,adjective)
close	29		(adjective,adverb,verb,noun)
creative	29		(adjective,noun)
design	29		(noun,verb)
feature	29		(noun,verb)
financial	29		(adjective)
head	29		(noun,adjective,verb)
marketing	29		(noun)
material	29		(noun,adjective)
medical	29		(adjective)
purpose	29		(noun,verb)
question	29		(noun,verb)
rock	29		(noun,verb)
salt	29		(noun,adjective,verb)
tell	29		(verb,noun)
themselves	29		(pronoun)
traditional	29		(adjective)
university	29		(noun)
writing	29		(noun)
act	28		(noun,verb)
article	28		(noun)
birth	28		(noun,verb)
car	28		(noun,adjective)
cost	28		(verb,noun)
department	28		(noun)
difference	28		(noun)
dog	28		(noun,verb)
drive	28		(verb,noun)
exist	28		(verb)
federal	28		(adjective)
goal	28		(noun)
green	28		(adjective,noun,verb)
late	28		(adjective,adverb,noun)
news	28		(noun)
object	28		(noun,verb)
scale	28		(noun,verb)
sun	28		(noun,verb)
support	28		(verb,noun)
tend	28		(verb)
thus	28		(adverb)
audience	27		(noun)
enjoy	27		(verb)
entire	27		(adjective)
fishing	27		(noun)
fit	27		(adjective,verb,noun)
glad	27		(adjective,noun)
growth	27		(noun)
income	27		(noun)
marriage	27		(noun)
note	27		(noun,verb)
perform	27		(verb)
profit	27		(noun,verb)
proper	27		(adjective,adverb,noun)
related	27		(past,verb)
remove	27		(verb,noun)
rent	27		(noun,verb)
return	27		(verb,noun)
run	27		(verb,noun)
speed	27		(noun,verb)
strong	27		(adjective)
style	27		(noun,verb)
throughout	27		(preposition)
user	27		(noun)
war	27		(noun,verb)
actual	26		(adjective)
appropriate	26		(verb,adjective)
bank	26		(noun,verb)
combination	26		(noun)
complex	26		(adjective,noun,verb)
content	26		(adjective,verb,noun)
craft	26		(noun,verb)
due	26		(adjective,noun,adverb)
easily	26		(adverb)
effective	26		(adjective,noun)
eventually	26		(adverb)
exactly	26		(adverb)
failure	26		(noun)
half	26		(noun,predeterminer,adverb)
inside	26		(noun,adjective,preposition)
meaning	26		(noun)
medicine	26		(noun)
middle	26		(adjective,noun)
outside	26		(noun,adjective,preposition)
philosophy	26		(noun)
regular	26		(adjective,noun)
reserve	26		(verb,noun)
standard	26		(noun,adjective)
bus	25		(noun,verb)
decide	25		(verb)
exchange	25		(noun,verb)
eye	25		(noun,verb)
fast	25		(adjective,adverb,verb)
fire	25		(noun,verb)
identify	25		(verb)
independent	25		(adjective,noun)
leave	25		(verb,noun)
original	25		(adjective,noun)
position	25		(noun,verb)
pressure	25		(noun,verb)
reach	25		(verb,noun)
rest	25		(verb,noun)
serve	25		(verb,noun)
stress	25		(noun,verb)
teacher	25		(noun)
watch	25		(verb,noun)
wide	25		(adjective,adverb)
advantage	24		(noun,verb)
beautiful	24		(adjective,noun,interjection)
benefit	24		(noun,verb)
box	24		(noun,verb)
charge	24		(verb,noun)
communication	24		(noun)
complete	24		(adjective,verb)
continue	24		(verb)
frame	24		(noun,verb)
issue	24		(noun,verb)
limited	24		(past,verb)
night	24		(noun)
protect	24		(verb)
require	24		(verb)
significant	24		(adjective)
step	24		(noun,verb)
successful	24		(adjective)
unless	24		(conjunction)
active	23		(adjective,noun)
break	23		(verb,noun)
chemistry	23		(noun)
cycle	23		(noun,verb)
disease	23		(noun)
disk	23		(noun)
electrical	23		(adjective)
energy	23		(noun)
expensive	23		(adjective)
face	23		(noun,verb)
interested	23		(past,verb)
item	23		(noun,adverb)
metal	23		(noun,verb)
nation	23		(noun)
negative	23		(adjective,noun,interjection,verb)
occur	23		(verb)
paint	23		(noun,verb)
pregnant	23		(adjective)
review	23		(noun,verb)
road	23		(noun)
role	23		(noun)
room	23		(noun,verb)
safe	23		(adjective,noun)
screen	23		(noun,verb)
soup	23		(noun)
stay	23		(verb,noun)
structure	23		(noun,verb)
view	23		(noun,verb)
visit	23		(verb,noun)
visual	23		(adjective,noun)
write	23		(verb)
wrong	23		(adjective,adverb,noun,verb)
account	22		(noun,verb)
advertising	22		(noun)
affect	22		(verb,noun)
ago	22		(adjective,adverb)
anyone	22		(pronoun)
approach	22		(verb)
avoid	22		(verb)
ball	22		(noun,verb)
behind	22		(preposition,adverb,adjective,noun)
certainly	22		(adverb)
concerned	22		(past,verb)
cover	22		(verb,noun)
discipline	22		(noun,verb)
location	22		(noun)
medium	22		(noun,adjective)
normally	22		(adverb)
prepare	22		(verb)
quick	22		(adjective,adverb,noun)
ready	22		(adjective,verb)
report	22		(verb,noun)
rise	22		(verb,noun)
share	22		(noun,verb)
success	22		(noun)
addition	21		(noun)
apartment	21		(noun)
balance	21		(noun,verb)
bit	21		(noun,verb)
black	21		(noun,verb,adjective,adverb)
bottom	21		(noun,verb,adjective)
build	21		(verb)
choice	21		(noun,adjective)
education	21		(noun)
gift	21		(noun,verb)
impact	21		(noun,verb)
machine	21		(noun,verb)
math	21		(noun)
moment	21		(noun)
painting	21		(noun)
politics	21		(noun)
shape	21		(noun,verb)
straight	21		(adjective,adverb,noun)
tool	21		(noun,verb)
walk	21		(verb,noun)
white	21		(adjective,noun,verb)
wind	21		(noun,verb)
achieve	20		(verb)
address	20		(noun,verb)
attention	20		(noun)
average	20		(noun,verb,adjective)
believe	20		(verb)
beyond	20		(preposition,noun)
career	20		(noun,verb,adjective)
culture	20		(noun,verb)
decision	20		(noun)
direct	20		(adjective,adverb,verb)
event	20		(noun)
excellent	20		(adjective,interjection)
extra	20		(adjective,adverb,noun)
intelligent	20		(adjective)
interesting	20		(adjective)
junior	20		(adjective,noun)
morning	20		(noun,adverb)
pick	20		(verb,noun)
poor	20		(adjective)
pot	20		(noun,verb)
pretty	20		(adjective,adverb,noun,verb)
property	20		(noun)
receive	20		(verb)
seem	20		(verb)
shopping	20		(noun)
sign	20		(noun,verb)
student	20		(noun)
table	20		(noun,verb)
task	20		(noun,verb)
unique	20		(adjective,noun)
wood	20		(noun)
anything	19		(pronoun,noun,adverb)
classic	19		(adjective,noun)
competition	19		(noun)
condition	19		(noun,verb)
contact	19		(noun,verb)
credit	19		(noun,verb)
currently	19		(adverb)
discuss	19		(verb)
distribution	19		(noun)
egg	19		(noun,verb)
entertainment	19		(noun)
final	19		(adjective,noun)
happy	19		(adjective)
hope	19		(noun,verb)
ice	19		(noun,verb)
lift	19		(verb,noun)
mix	19		(verb,noun)
network	19		(noun,verb)
north	19		(noun,adjective,adverb)
office	19		(noun)
overall	19		(adjective,adverb,noun)
population	19		(noun)
president	19		(noun)
private	19		(adjective,noun)
realize	19		(verb)
responsible	19		(adjective)
separate	19		(adjective,verb,noun)
square	19		(noun,adjective,adverb)
stop	19		(verb,noun)
teach	19		(verb,noun)
unit	19		(noun)
western	19		(adjective,noun)
yes	19		(interjection)
alone	18		(adjective,adverb)
attempt	18		(noun,verb)
category	18		(noun)
cigarette	18		(noun)
concern	18		(verb,noun)
contain	18		(verb)
context	18		(noun)
cute	18		(adjective)
date	18		(noun,verb)
effect	18		(noun,verb)
extremely	18		(adverb)
familiar	18		(adjective,noun)
finally	18		(adverb)
fly	18		(verb,noun)
follow	18		(verb)
helpful	18		(adjective)
introduction	18		(noun)
link	18		(noun,verb)
official	18		(adjective,noun)
opportunity	18		(noun)
perfect	18		(adjective,verb,noun)
performance	18		(noun)
post	18		(noun,verb,adverb)
recent	18		(adjective)
refer	18		(verb)
solve	18		(verb)
star	18		(noun,verb)
voice	18		(noun,verb)
willing	18		(adjective)
born	17		(verb,adjective,past particple)
bright	17		(adjective,adverb,noun)
broad	17		(adjective,noun)
capital	17		(noun,adjective)
challenge	17		(noun,verb,adjective)
comfortable	17		(adjective,noun)
constantly	17		(adverb)
describe	17		(verb)
despite	17		(preposition)
driver	17		(noun)
flat	17		(adjective,adverb,noun,verb)
flight	17		(noun)
friend	17		(noun,verb)
gain	17		(verb,noun)
him	17		(pronoun)
length	17		(noun)
magazine	17		(noun)
maybe	17		(adverb,noun)
newspaper	17		(noun)
nice	17		(adjective)
prefer	17		(verb)
prevent	17		(verb)
properly	17		(adverb)
relationship	17		(noun)
rich	17		(adjective,noun)
save	17		(verb,noun,preposition)
self	17		(noun,pronoun,adjective,verb)
shot	17		(noun,adjective)
soon	17		(adverb)
specifically	17		(adverb)
stand	17		(verb,noun)
teaching	17		(noun)
warm	17		(adjective,verb)
wonderful	17		(adjective)
young	17		(adjective,noun)
ahead	16		(adverb)
brush	16		(noun,verb)
cell	16		(noun)
couple	16		(noun,verb)
daily	16		(adverb)
dealer	16		(noun)
debate	16		(noun,verb)
discover	16		(verb)
ensure	16		(verb)
exit	16		(noun,verb)
expect	16		(verb)
experienced	16		(past,verb)
fail	16		(verb,noun)
finding	16		(noun)
front	16		(noun,adjective,verb,interjection)
function	16		(noun,verb)
heavy	16		(adjective,noun,adverb)
hello	16		(interjection,noun)
highly	16		(adverb)
immediately	16		(adverb)
impossible	16		(adjective)
invest	16		(verb)
lack	16		(noun,verb)
lake	16		(noun)
lead	16		(verb,noun)
listen	16		(verb,noun)
living	16		(noun,adjective)
member	16		(noun)
message	16		(noun)
phone	16		(noun)
plant	16		(noun,verb)
plastic	16		(noun,adjective)
reduce	16		(verb)
relatively	16		(adverb)
scene	16		(noun)
serious	16		(adjective)
slowly	16		(adverb)
speak	16		(verb)
spot	16		(noun,verb)
summer	16		(noun,verb)
taste	16		(noun,verb)
theme	16		(noun,verb)
towards	16		(preposition)
track	16		(noun,verb)
valuable	16		(adjective,noun)
whatever	16		(pronoun,adverb,interjection)
wing	16		(noun,verb)
worry	16		(verb,noun)
appear	15		(verb)
appearance	15		(noun)
association	15		(noun)
brain	15		(noun,verb)
button	15		(noun,verb)
click	15		(noun,verb)
concept	15		(noun)
correct	15		(adjective,verb)
customer	15		(noun)
death	15		(noun)
desire	15		(noun,verb)
discussion	15		(noun)
explain	15		(verb)
explore	15		(verb)
express	15		(verb,adjective,adverb,noun)
fairly	15		(adverb)
fixed	15		(past,verb)
foot	15		(noun,verb)
gas	15		(noun,verb)
handle	15		(verb,noun)
housing	15		(noun)
huge	15		(adjective)
inflation	15		(noun)
influence	15		(noun,verb)
insurance	15		(noun)
involve	15		(verb)
leading	15		(adjective,noun)
lose	15		(verb)
meet	15		(verb,noun)
mood	15		(noun)
notice	15		(noun,verb)
primarily	15		(adverb)
rain	15		(noun,verb)
rare	15		(adjective)
release	15		(verb,noun)
sell	15		(verb,noun)
slow	15		(adjective,adverb,verb)
technical	15		(adjective)
typical	15		(adjective)
upon	15		(preposition)
wall	15		(noun,verb)
woman	15		(noun)
advice	14		(noun)
afford	14		(verb)
agree	14		(verb)
base	14		(noun,verb,adjective)
blood	14		(noun)
clean	14		(adjective,adverb,verb)
competitive	14		(adjective)
completely	14		(adverb)
critical	14		(adjective)
damage	14		(noun,verb)
distance	14		(noun,verb)
effort	14		(noun)
electronic	14		(adjective)
expression	14		(noun)
feeling	14		(noun,adjective)
finish	14		(verb,noun)
fresh	14		(adjective,adverb)
hear	14		(verb)
immediate	14		(adjective)
importance	14		(noun)
normal	14		(adjective,noun)
opinion	14		(noun)
otherwise	14		(adverb,adjective)
pair	14		(noun,verb)
payment	14		(noun)
plus	14		(preposition,adjective,noun,conjunction)
press	14		(verb,noun)
